Sentence	Translation	Speaker	Rating	Ambiguity	Voice	Topicalized	Order	Actor_Type	Actor_Case	Undergoer_Type	Undergoer_Case	Beneficiary_Type	Beneficiary_Case	Location_Type	Location_Case	Poss_Type	Poss_Case	Theme_Type	Theme_Case	Rating_str
idu na unan tu karacaw na suwan. 	The snake bit the dog. 	2	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
idu na suwan kikarac kana unan. 	The dog was bitten by the snake.	2	1	A-U	PASS	undergoer	UVA	common_def	OBL	common_def	NOM									Elicited
idu na unan tu karacaw i ina. 	The snake bit the mother. 	2	1	none	PF	actor	AVU	common_def	NOM	prsn_sg	NOM									Elicited
idu na unan tu karacaw nadu na ina. 	The snake bit one of the mothers. 	2	1	none	PF	actor	AVU	common_def	NOM	prsn_pl	NOM									Elicited
idu na unan tu karacaw nadu (na?) papiya. 	The snake bit them all. 	2	2	none	PF	actor	AVU	common_def	NOM	prsn_pl	NOM									Accepted
i nani tu verayay i Pusang kana kavang. 	My mom gave the clothes to Pusang. 	2	1	A-B	LF	actor	AVBU	prsn_sg	NOM	common_def	OBL	prsn_sg	NOM							Elicited
i nani tu verayay a kavang kani Pusang di Umang. 	My mom gave clothes to Pusang and Umang. 	2	1	A-B	LF	actor	AVUB	prsn_sg	NOM	common_indf	NOM	prsn_sg	OBL							Elicited
i nani tu verayay na kavang kani Pusang di Umang. 	My mom gave the clothes to Pusang and Umang. 	2	1	A-B	LF	actor	AVUB	prsn_sg	NOM	common_def	NOM	prsn_sg	OBL							Elicited
i ina tu verayay kana lralrak na kavang. 	The mother gave the clothes to the children.	2	1	A-B	LF	actor	AVBU	prsn_sg	NOM	common_def	NOM	common_def	OBL							Elicited
i ina tu verayay kana lralrak a kavang. 	The mother gave the clothes to the children.	2	1	A-B	LF	actor	AVBU	prsn_sg	NOM	common_indf	NOM	common_def	OBL							Elicited
kitenged kana sinsi. 	He was beaten by the teacher. 	2	1	none	PASS	none	VA	prsn_sg	OBL											Elicited
tu tengeday i ina. 	He beats the mother. 	2	1	A-U	LF	none	VU			prsn_sg	NOM									Elicited
tu tengeday i ina. 	He was beaten by the mother.	2	2	A-U	LF	none	VA	prsn_sg	NOM											Accepted
i nani sahar kanidu na alrak. 	My mother loves her child.	2	1	A-U	AF	actor	AVU	prsn_sg	NOM	common_def	OBL									Elicited
